"b1_9"     "a1"     "c1"     "b2_9"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-5.43076     14.0571     1.64094     -1.83774     130.157     1.72209     7.94868     71.28     1.65421     97.7797     0.00213291     -2115.75     -4.18986     -1.33131     7.94868     0     3     0
-6.74015     14.3096     1.66397     -1.83774     128.482     1.72936     7.52364     44.3294     1.67508     107.007     0.00213169     -2120.36     -2.88939     -1.65833     7.52364     0     3     0
-6.79548     12.3832     1.65777     -1.76276     129.013     1.72886     8.12109     34.3154     1.68392     86.7604     0.00322403     -2116.52     -3.33215     -1.62862     8.12109     0     3     0
-7.30137     12.3832     1.65777     -1.75016     129.502     1.72392     8.04093     52.2365     1.68392     95.4744     0.000544015     -2117.13     -4.27615     -1.31538     8.04093     0     3     0
-9.89246     14.4973     1.64417     -1.8249     130.274     1.72396     7.99278     37.6804     1.70259     101.633     0.0012615     -2121.32     -3.48742     -1.53574     7.99278     0     3     0
-7.23031     14.4973     1.69543     -1.81916     129.329     1.72175     7.91152     60.338     1.6507     98.9685     0.00271486     -2115.61     -3.78655     -1.4427     7.91152     0     3     0
-7.56433     18.0723     1.64805     -1.86534     128.916     1.72097     8.64926     54.1558     1.66772     107.181     0.00411737     -2117.27     -3.69547     -1.45552     8.64926     0     3     0
-5.49002     15.0781     1.68113     -1.98903     128.783     1.71658     8.06661     89.1567     1.66772     92.425     0.00534937     -2118.27     -3.45605     -1.55087     8.06661     0     3     0
-5.97121     15.9306     1.65148     -1.98712     129.033     1.71794     7.83493     84.4031     1.64576     90.0726     0.00517488     -2120.7     -4.4912     -1.14463     7.83493     0     3     0
-5.29219     18.7045     1.66444     -1.98712     128.336     1.72211     8.47665     61.6643     1.66599     105.869     0.000340561     -2116.65     -3.69978     -1.34055     8.47665     0     3     0
-4.55937     13.9012     1.66444     -1.99062     127.738     1.72182     8.0355     126.335     1.63201     106.453     0.000949681     -2120.43     -3.56439     -1.54602     8.0355     0     3     0
-6.52882     12.6133     1.6552     -1.84437     128.491     1.72171     7.99347     69.119     1.68902     92.1377     0.00274853     -2122.09     -3.88756     -1.461     7.99347     0     3     0
-5.61975     13.3334     1.69714     -1.88432     128.551     1.72171     8.4276     103.194     1.64189     108.368     0.000944286     -2119.83     -3.44417     -1.59651     8.4276     0     3     0
-5.69872     11.9209     1.64631     -1.73969     128.498     1.72417     8.03398     103.194     1.64189     95.0664     0.00186319     -2123     -3.94046     -1.40478     8.03398     0     3     0
-4.21841     12.8148     1.65352     -1.88758     127.091     1.72417     8.36848     107.853     1.68994     98.7167     0.00105691     -2111.43     -4.14121     -1.38932     8.36848     0     3     0
-5.87062     11.8705     1.65087     -1.94597     127.092     1.72358     7.47766     70.1367     1.64087     103.69     0.00105691     -2127.19     -3.531     -1.81724     7.47766     0     3     0
