"b1_5"     "a1"     "c1"     "b2_5"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_5"     "k2_5"     "ktype1_5"     "ktype2_5"
-2.67487     121.672     1.65559     0.901039     188.178     1.62828     0.832407     0.0028064     -1364.92     -2.65744     0.805262     0     0
-2.66962     121.194     1.64649     0.991579     188.635     1.66819     4.06823     0.00275335     -1369.55     -2.62957     0.60737     0     0
-2.65383     121.452     1.64776     0.707594     188.635     1.65788     0.443191     0.00435997     -1364.04     -2.69719     0.805648     0     0
-2.61889     123.34     1.64776     0.561682     176.885     1.70234     2.91078     0.00060594     -1369.26     -2.35772     1.12278     0     0
-2.63283     124.042     1.64455     0.899242     176.333     1.64482     0.644527     0.00492378     -1366.81     -2.45766     1.11438     0     0
-2.62188     125.002     1.64538     1.07142     192.844     1.6228     3.13987     0.001844     -1364.82     -2.51896     1.04894     0     0
-2.58978     126.476     1.64251     0.712158     179.061     1.62562     0.271054     0.00725088     -1368.42     -2.5159     0.777451     0     0
-2.53117     124.121     1.65494     0.815416     190.314     1.63635     2.97597     0.000358764     -1365.64     -2.49637     0.953885     0     0
-2.59941     122.7     1.65236     0.571024     185.843     1.66664     0.0925469     0.0043781     -1363.9     -2.81223     0.921232     0     0
-2.70719     122.827     1.65422     0.954848     173.076     1.66624     5.41626     0.000794269     -1368.64     -2.48524     1.24646     0     0
-2.60731     122.132     1.66123     0.594468     180.283     1.66624     1.26555     0.00552664     -1362.99     -2.45747     0.707721     0     0
-2.60731     120.848     1.6686     0.646939     183.25     1.65014     2.74438     0.00234048     -1365.78     -3.03437     0.624399     0     0
-2.62339     119.157     1.68263     0.675167     173.418     1.6651     0.0649692     0.00865246     -1364.72     -2.42869     1.14969     0     0
-2.62953     119.397     1.68408     0.54406     173.418     1.68102     0.135396     0.00899648     -1368.69     -2.41505     0.813924     0     0
-2.56431     120.314     1.68408     0.603062     159.276     1.659     5.70782     0.00323164     -1370.12     -2.44742     0.993163     0     0
-2.61965     118.435     1.67991     0.467137     159.807     1.6915     6.37486     0.00689016     -1367.9     -2.45558     0.870062     0     0
-2.63125     118.435     1.68255     0.788228     162.988     1.68704     0.614848     0.0119559     -1366.48     -2.39222     1.05654     0     0
-2.6632     119.386     1.67707     0.949463     173.557     1.65313     0.17508     0.00716407     -1367.78     -2.60309     1.0966     0     0
-2.6632     119.891     1.67707     0.987277     182.004     1.63939     1.7654     0.01009     -1375.29     -2.66935     0.920705     0     0
-2.50934     120.559     1.67061     1.07432     185.102     1.63939     5.9269     0.00162664     -1370.06     -2.65336     1.47956     0     0
-2.66436     121.313     1.67049     0.977346     207.013     1.62517     6.68691     0.000378721     -1366.69     -2.61071     0.779515     0     0
-2.67111     123.052     1.65301     0.977346     193.99     1.64776     2.23651     0.000378721     -1363.39     -2.8262     1.00058     0     0
-2.60834     123.85     1.6439     0.938007     186.505     1.61719     2.1245     0.000378721     -1369.32     -2.4441     0.950293     0     0
-2.63611     125.677     1.64239     0.791144     173.693     1.68907     1.26842     0.00545284     -1367.14     -2.46391     0.871816     0     0
-2.65265     123.849     1.65498     0.671689     177.96     1.63052     5.80143     0.00189637     -1371.14     -2.41062     0.654818     0     0
-2.65265     121.446     1.64665     0.671689     197.013     1.63052     4.58587     0.00189637     -1367.59     -2.42858     0.814473     0     0
-2.64555     121.587     1.65163     0.69378     191.912     1.63052     8.1483     0.000869332     -1367.02     -2.64877     0.633823     0     0
-2.66428     121.274     1.65441     0.836671     207.866     1.66613     2.33985     0.00138417     -1371.12     -2.74298     1.02337     0     0
-2.66428     122.989     1.65497     0.702108     206.61     1.61471     1.15957     0.00154394     -1366.71     -2.47413     0.965737     0     0
-2.59138     125.013     1.65094     0.775798     184.872     1.61255     0.172923     0.00145635     -1366.29     -2.47954     0.962381     0     0
-2.57588     124.811     1.64246     0.735231     206.435     1.5841     9.69746     0.00375815     -1376.31     -2.59408     0.914517     0     0
-2.55038     128.208     1.63671     0.51634     188.031     1.61593     0.323155     0.00156859     -1369     -2.51283     1.02535     0     0
-2.51514     128.81     1.63031     0.545944     196.688     1.61593     7.25718     0.00308626     -1379.12     -2.66705     0.62226     0     0
-2.51068     131.122     1.63733     0.780403     177.759     1.69599     2.1368     0.0154593     -1373.16     -2.49083     0.597614     0     0
-2.65121     129.666     1.63733     0.707611     182.551     1.6501     5.26841     0.00173855     -1367.78     -2.39649     0.548085     0     0
-2.65121     127.633     1.63733     0.811449     174.096     1.6498     1.47845     0.00237055     -1369.18     -2.47246     1.11968     0     0
-2.65335     126.585     1.6435     0.69879     191.487     1.61141     2.13138     0.00821681     -1368.17     -2.33022     0.906365     0     0
-2.56916     127.652     1.63746     0.78071     192.14     1.64064     5.93148     0.011245     -1372.34     -2.19027     1.382     0     0
-2.60178     129.094     1.63331     0.98644     184.227     1.65951     1.2065     0.00503214     -1367     -2.61051     1.01251     0     0
-2.67184     129.581     1.63331     0.665844     189.888     1.63991     1.12709     0.00602384     -1372.29     -2.66647     1.07635     0     0
-2.54616     129.546     1.63724     0.93965     193.159     1.62621     0.367516     0.0024076     -1365     -2.32267     1.2565     0     0
-2.61501     129.536     1.63724     0.936682     186.332     1.65638     2.23994     0.00302372     -1365.26     -2.53116     0.978758     0     0
-2.65879     129.536     1.63678     0.905713     186.047     1.63957     0.613599     0.00409704     -1367.43     -2.53116     1.2001     0     0
